Category,Topic
Geography,Yokohama
Geography,Unification of Italy
STEM,Maxwell's equations
Geography,Anatolia
Culture,Resurrection of Jesus
Culture,Crucifixion of Jesus
Culture,Jesus in Islam
History and Society,Mark Antony
Culture,Aaron
Geography,Saipan
STEM,China Airlines
Geography,Chiang Mai
Geography,Nordic countries
STEM,Biogeography
STEM,Physical geography
STEM,Methane
Geography,Kofi Annan
STEM,Category:Chemistry templates
STEM,Template:Infobox mineral
STEM,Daytime
STEM,Match
Culture,Looper (film)
STEM,Electron configuration
History and Society,International Labour Organization
STEM,Cosmic microwave background
STEM,Tritium
Geography,Template:Infobox legislature
Culture,Billie Jean King
Culture,Martina Navratilova
STEM,Hannes Alfvén
Culture,Britney Spears
Geography,Barack Obama
Culture,Francis Ford Coppola
Geography,Independence Day (India)
STEM,Desktop computer
Geography,Kim Jong Un
Geography,Kim Il Sung
Culture,Hausa language
Geography,Jiangxi
STEM,Paracetamol
STEM,James Franck
STEM,Max von Laue
STEM,Gustav Ludwig Hertz
STEM,Johannes Stark
Geography,Omar al-Bashir
Geography,Yoweri Museveni
Geography,Abdullah of Saudi Arabia
Geography,Juan Manuel Santos
Geography,Ali Khamenei
Geography,Mahinda Rajapaksa
Geography,Jigme Khesar Namgyel Wangchuck
Geography,Shimon Peres
Geography,Ningxia
Geography,Islam Karimov
Geography,Lee Hsien Loong
Geography,Kamla Persad-Bissessar
STEM,EBay
Geography,Petro Poroshenko
STEM,Nephron
Culture,Disco
History and Society,Amun
Culture,Liam Neeson
STEM,Hydrazine
Geography,Pashto
STEM,Pollution
Culture,Das Kapital
Culture,Saraswati
STEM,Hiccup
STEM,Spinning wheel
Culture,Max Born
Geography,Kakinada
STEM,Mariner 10
Culture,Diglossia
STEM,Chrysanthemum
Culture,Heidi Klum
STEM,Gerhard Ertl
Geography,Rajinikanth
Geography,Indian subcontinent
Geography,Ariel Sharon
STEM,Ichthyology
Culture,Namaste
STEM,Polar regions of Earth
Geography,Adam's Peak
Culture,John Austin (legal philosopher)
STEM,Tail
History and Society,Russian Orthodox Church
Geography,Navi Mumbai
STEM,Uniform Resource Identifier
Geography,Daimyo
Geography,Tower of London
Geography,Palace of Westminster
STEM,Osteoarthritis
Geography,Yin and yang
STEM,Heike Kamerlingh Onnes
STEM,John Cockcroft
Geography,Maurya Empire
Culture,Sharon Stone
Geography,Al-Qādisiyyah Governorate
Geography,"Abadan, Iran"
STEM,Roy J. Glauber
Geography,Bonsai
STEM,Electrolysis
Geography,Arc de Triomphe
STEM,Reinhard Genzel
Culture,Anthony Hopkins
STEM,Bile
STEM,Wolfgang Pauli
Geography,Sahel
History and Society,Foreign exchange market
Culture,Eucharist
History and Society,United States Senate
History and Society,Henry Kissinger
History and Society,Central bank
STEM,Taiga
Geography,Dravidian peoples
Culture,Urban planning
Geography,Air India
Geography,French Third Republic
STEM,Theodor W. Hänsch
STEM,Amundsen Sea
STEM,Refraction
Geography,Fridtjof Nansen
STEM,Electric motor
Culture,Toni Morrison
History and Society,Bureaucracy
Geography,Mediterranean Basin
Culture,William Shakespeare
Geography,Taiyuan
Geography,Delphi
Culture,Pierre de Fermat
STEM,Mac (computer)
STEM,Nicolaus Otto
STEM,Cerebrum
History and Society,Right-wing politics
STEM,Declination
Culture,Boris Becker
STEM,George E. Smith
Culture,Emil von Behring
Geography,Eva Braun
STEM,Octal
STEM,Walther Bothe
Culture,Jawed Karim
STEM,Pavel Cherenkov
STEM,Radiology
Geography,Peloponnese
STEM,Electronegativity
History and Society,Napoleonic Wars
Culture,Mike Tyson
STEM,Antibody
Culture,Google Play
STEM,UMTS
STEM,4G
STEM,Kilobyte
STEM,Megabyte
History and Society,Oligarchy
STEM,Barometer
STEM,Motion
STEM,Red deer
Geography,Argentina national football team
STEM,CSS
Culture,2014 FIFA World Cup
STEM,Anger
STEM,Object-oriented programming
History and Society,Isis
Geography,Strait of Hormuz
STEM,Cytoplasm
History and Society,Non-governmental organization
STEM,Dark matter
STEM,Endoplasmic reticulum
Geography,Gulf of Oman
History and Society,Golden Horde
Geography,James VI and I
STEM,Ethernet
STEM,Computer programming
Geography,Amasya Province
Geography,Kazakhs
Culture,Charlize Theron
Geography,Ağrı Province
Geography,Tabriz
STEM,Nobel Prize in Physiology or Medicine
STEM,Aloe vera
Geography,Burdur Province
Culture,Hat
STEM,Joseph-Louis Lagrange
Culture,Tamarind
Geography,Om Puri
Geography,Halldór Laxness
Geography,English Civil War
Geography,Bengal
Geography,Patna
Geography,Indian rupee
Culture,Okra
Culture,"Blue Mosque, Istanbul"
Geography,Van Province
STEM,Gondwana
Geography,Charlton Heston
Culture,Harry Potter and the Order of the Phoenix
STEM,Integrated circuit
Culture,Lingua franca
Geography,Shanghai World Financial Center
Culture,Gabriela Mistral
STEM,Nuclear reactor
STEM,James Chadwick
History and Society,Guerrilla warfare
Geography,Bengal tiger
History and Society,Animal husbandry
Culture,Cate Blanchett
Culture,Nihilism
Geography,Bhopal
STEM,Adult
STEM,Firewall (computing)
STEM,Water cycle
STEM,Storm
STEM,Engineer
Geography,Manchuria
STEM,Polymer
STEM,Mustard gas
Culture,Megamind
STEM,Morphine
History and Society,Siemens
STEM,Acre
STEM,Greenpeace
STEM,Decimal
STEM,Alkene
Culture,Walt Whitman
Geography,Levant
Geography,Gulf of Aqaba
Culture,Murasaki Shikibu
Geography,Majid Majidi
Geography,Giza
STEM,Carnivore
STEM,Ivory
History and Society,Benjamin Disraeli
STEM,Jasmine
Geography,Kangchenjunga
History and Society,Nasdaq
Geography,Bolu Province
Geography,Steven Seagal
Geography,Province of A Coruña
History and Society,Purchasing power parity
History and Society,Food and Agriculture Organization
Culture,Mata Hari
Culture,John Galsworthy
Culture,Winter Olympic Games
STEM,Leon Cooper
STEM,Friction
STEM,Krakatoa
History and Society,Mary I of England
Geography,Geisha
Geography,Kanji
History and Society,Pliny the Elder
STEM,Acoustics
Geography,Coral Sea
Culture,Anaxagoras
STEM,Hexagon
Culture,Saul Bellow
Culture,Avatar
Geography,Taipei 101
Culture,Charlotte's Web 2: Wilbur's Great Adventure
Geography,African National Congress
Geography,East India Company
STEM,Hydrosphere
Culture,Eugenio Montale
STEM,Antimatter
History and Society,Non-Aligned Movement
Geography,Golan Heights
STEM,Photoelectric effect
STEM,Candela
STEM,Kepler's laws of planetary motion
Geography,Bitlis Province
Geography,Hatay Province
STEM,Lithosphere
Culture,"John William Strutt, 3rd Baron Rayleigh"
STEM,Thunder
Geography,Mosul
Culture,Guru Nanak
Geography,Turkic peoples
STEM,Louis de Broglie
STEM,James Watson
Culture,Robin Williams
STEM,Liquid-crystal display
Geography,Bartın Province
STEM,Circumcision
Culture,Jeans
Culture,Vegetarianism
Culture,Empiricism
Culture,Empedocles
Culture,Eleanor Roosevelt
STEM,Factory
Geography,Kullu
Geography,Brazil national football team
STEM,Group (mathematics)
Culture,The Matrix
Geography,Mount Rushmore
STEM,Intelligence
Geography,Maratha Empire
Geography,Shah Jahan
Geography,Sasanian Empire
STEM,Birth certificate
Geography,Kocaeli Province
Culture,Karl Landsteiner
Geography,African Great Lakes
Geography,Changchun
Culture,Template:Cite book
STEM,Bjarne Stroustrup
Geography,Larry Ellison
History and Society,Divorce
History and Society,Sexism
Geography,Appalachian Mountains
Culture,Percy Bysshe Shelley
STEM,Coast
Culture,Grand Theft Auto: Vice City
Culture,"Pantheon, Rome"
Geography,1989 Tiananmen Square protests and massacre
